-1.50,0.17,9.85,0.17,-0.02,-0.00,sitting
-1.47,0.32,9.84,0.11,-0.04,-0.00,sitting
-1.46,0.27,9.86,0.21,-0.02,-0.01,sitting
-1.44,0.40,9.90,0.22,-0.02,-0.01,sitting
-1.43,0.34,9.96,0.19,-0.01,0.00,sitting
-1.50,0.35,9.96,0.21,-0.02,-0.01,sitting
-1.54,0.42,9.87,0.16,-0.01,-0.02,sitting
-1.47,0.31,9.86,0.12,-0.01,-0.02,sitting
-1.48,0.34,9.83,0.17,-0.02,-0.01,sitting
-1.44,0.43,9.87,0.20,-0.02,-0.00,sitting
-1.39,0.43,9.84,0.19,-0.01,-0.00,sitting
-1.41,0.45,9.97,0.18,-0.01,-0.01,sitting
-1.50,0.37,9.90,0.18,-0.01,-0.01,sitting
-1.40,0.36,9.86,0.18,-0.02,-0.01,sitting
-1.48,0.45,9.90,0.18,-0.02,-0.00,sitting
-1.45,0.41,9.85,0.16,-0.01,-0.01,sitting
-1.49,0.43,10.00,0.19,-0.01,-0.01,sitting
-1.44,0.41,9.95,0.16,-0.01,-0.01,sitting
-1.47,0.40,9.89,0.16,-0.01,-0.01,sitting
-1.41,0.51,9.86,0.20,-0.01,-0.02,sitting
-1.51,0.40,9.91,0.17,-0.01,-0.01,sitting
-1.52,0.44,9.98,0.23,-0.01,0.00,sitting
-1.55,0.47,9.80,0.20,-0.01,0.05,sitting
-1.57,0.64,9.99,-0.01,-0.01,-0.01,sitting
-1.32,0.20,9.87,-0.31,-0.00,-0.06,sitting
-1.58,0.04,10.02,-0.02,0.00,-0.03,sitting
-1.50,-0.05,9.87,0.23,-0.02,0.01,sitting
-1.49,0.16,9.99,0.32,-0.01,0.01,sitting
-1.50,0.17,9.93,0.23,-0.01,-0.00,sitting
-1.52,0.11,9.92,0.09,-0.02,-0.02,sitting
-1.51,0.17,9.86,0.19,-0.00,-0.00,sitting
-1.48,0.09,10.00,0.25,-0.02,0.00,sitting
-1.56,0.21,9.81,0.14,-0.00,-0.01,sitting
-1.48,0.10,9.89,0.06,-0.02,-0.02,sitting
-1.53,0.07,9.97,0.17,-0.01,-0.01,sitting
-1.51,0.08,9.84,0.19,-0.02,-0.01,sitting
-1.47,0.10,9.78,0.18,-0.01,-0.01,sitting
-1.40,0.10,9.98,0.19,-0.02,-0.01,sitting
-1.46,0.15,9.78,0.16,-0.01,-0.02,sitting
-1.49,0.03,9.80,0.09,-0.02,-0.01,sitting
-1.59,0.12,9.89,0.22,-0.00,-0.01,sitting
-1.48,0.12,9.86,0.18,-0.02,-0.01,sitting
-1.50,0.09,9.91,0.26,-0.03,0.01,sitting
-1.57,0.23,9.94,0.26,-0.01,-0.01,sitting
-1.47,0.24,9.86,0.18,-0.03,-0.00,sitting
-1.46,0.20,9.86,0.19,-0.01,0.00,sitting
-1.42,0.25,9.90,0.14,-0.01,-0.00,sitting
-1.52,0.09,9.96,0.17,-0.02,-0.01,sitting
-1.45,0.25,9.95,0.17,-0.01,-0.01,sitting
-1.47,0.20,9.85,0.15,-0.02,-0.01,sitting
-1.49,0.30,9.84,0.23,-0.00,-0.01,sitting
-1.49,0.20,9.85,0.20,-0.00,-0.01,sitting
-1.53,0.18,9.94,0.17,-0.01,-0.01,sitting
-1.50,0.26,9.84,0.14,-0.01,-0.01,sitting
-1.53,0.28,9.84,0.21,-0.02,-0.01,sitting
-1.58,0.24,9.84,0.14,-0.02,-0.00,sitting
-1.52,0.23,9.99,0.24,-0.01,-0.01,sitting
-1.44,0.33,9.84,0.20,-0.02,-0.00,sitting
-1.46,0.28,9.91,0.16,-0.02,-0.01,sitting
-1.45,0.27,9.83,0.16,-0.02,-0.00,sitting
-1.51,0.24,10.01,0.17,-0.02,-0.01,sitting
-1.42,0.27,9.77,0.17,-0.02,-0.02,sitting
-1.51,0.27,9.98,0.19,-0.02,-0.01,sitting
-1.50,0.30,9.84,0.15,-0.02,-0.01,sitting
-1.58,0.34,9.98,0.18,-0.02,-0.01,sitting
-1.47,0.25,9.90,0.18,-0.01,-0.01,sitting
-1.44,0.30,9.85,0.14,-0.01,-0.01,sitting
-1.50,0.26,9.91,0.18,-0.01,-0.00,sitting
-1.53,0.28,9.90,0.17,-0.02,-0.01,sitting
-1.48,0.27,9.91,0.18,-0.01,-0.00,sitting
-1.47,0.30,9.87,0.19,-0.01,-0.00,sitting
-1.48,0.29,9.86,0.18,-0.01,-0.01,sitting
-1.77,0.30,9.80,0.17,-0.03,0.00,sitting
-1.47,0.25,9.97,0.21,-0.01,-0.03,sitting
-1.48,0.39,9.83,0.19,-0.03,-0.00,sitting
-1.30,0.34,9.83,0.15,-0.01,-0.02,sitting
-1.48,0.22,9.88,0.22,-0.00,-0.00,sitting
-1.46,0.36,9.90,0.20,-0.00,-0.00,sitting
-1.54,0.40,9.98,0.17,0.00,-0.02,sitting
-1.52,0.40,9.84,0.11,-0.01,-0.01,sitting
-1.66,0.36,9.96,0.11,-0.03,-0.03,sitting
-1.50,0.18,9.99,0.27,-0.02,0.01,sitting
-1.43,0.29,9.80,0.22,-0.02,-0.00,sitting
-1.39,0.34,9.95,0.12,-0.00,-0.00,sitting
-1.48,0.29,9.83,0.19,0.02,-0.01,sitting
-1.51,0.38,10.05,0.15,-0.02,-0.03,sitting
-1.46,0.18,9.80,0.20,0.01,-0.02,sitting
-1.54,0.55,9.95,0.22,-0.03,-0.02,sitting
-1.36,0.37,9.89,0.16,-0.02,-0.03,sitting
-1.56,0.37,9.76,0.17,-0.02,-0.01,sitting
-1.51,0.43,9.89,0.20,0.01,-0.00,sitting
-1.54,0.44,10.25,0.19,-0.09,0.00,sitting
-1.37,0.34,9.43,0.24,0.00,0.04,sitting
-1.59,0.42,9.98,0.10,-0.02,-0.00,sitting
-1.36,0.40,9.73,0.14,0.07,-0.01,sitting
-1.86,0.23,10.23,0.10,-0.08,-0.02,sitting
-1.27,0.22,9.59,0.28,0.06,-0.00,sitting
-1.51,0.46,10.02,0.11,-0.06,-0.02,sitting
-1.44,0.11,9.91,0.27,-0.01,-0.02,sitting
-1.71,0.79,9.57,0.16,-0.03,0.02,sitting
-1.36,0.26,9.99,0.07,0.02,-0.04,sitting
-1.68,0.24,9.90,0.18,0.00,-0.01,sitting
-1.29,0.45,9.89,0.20,0.00,-0.00,sitting
-1.54,0.37,9.87,0.13,-0.02,-0.02,sitting
-1.48,0.24,9.91,0.20,-0.02,-0.01,sitting
-1.54,0.47,9.90,0.18,-0.02,-0.00,sitting
-1.53,0.31,9.84,0.17,-0.01,-0.01,sitting
-1.43,0.37,9.99,0.20,-0.03,-0.01,sitting
-1.55,0.51,9.75,0.17,-0.03,-0.00,sitting
-1.49,0.35,9.85,0.15,0.01,-0.01,sitting
-1.67,0.39,9.92,0.17,-0.00,-0.00,sitting
-1.50,0.41,9.92,0.18,-0.02,0.01,sitting
-1.53,0.37,9.80,0.17,-0.02,0.00,sitting
-1.46,0.30,9.84,0.17,-0.02,0.00,sitting
-1.58,0.41,9.73,0.18,-0.02,0.00,sitting
-1.52,0.36,9.88,0.18,-0.02,-0.01,sitting
-1.49,0.36,9.87,0.19,-0.01,-0.01,sitting
-1.49,0.48,9.82,0.19,-0.02,-0.01,sitting
-1.58,0.44,9.89,0.21,-0.01,-0.01,sitting
-1.55,0.44,9.81,0.21,-0.01,-0.00,sitting
-1.55,0.36,9.93,0.14,-0.02,0.01,sitting
